Year,Category,Region,Month,CPI,Date
2018,Food and beverages,US,Jul,253.476,2018-07-01
2019,Food and beverages,US,Jul,258.015,2019-07-01
2020,Food and beverages,US,Jul,268.132,2020-07-01
2021,Food and beverages,US,Jul,277.187,2021-07-01
2022,Food and beverages,US,Jul,306.278,2022-07-01
2023,Food and beverages,US,Jul,321.02,2023-07-01
2014,Medical care,US,Jul,435.924,2014-07-01
2015,Medical care,US,Jul,446.773,2015-07-01
2016,Medical care,US,Jul,464.164,2016-07-01
2017,Medical care,US,Jul,476.126,2017-07-01
2018,Medical care,US,Jul,485.193,2018-07-01
2019,Medical care,US,Jul,497.687,2019-07-01
2020,Medical care,US,Jul,522.686,2020-07-01
2021,Medical care,US,Jul,524.219,2021-07-01
2022,Medical care,US,Jul,549.562,2022-07-01
2023,Medical care,US,Jul,546.698,2023-07-01
2014,Education,US,Jul,230.807,2014-07-01
2015,Education,US,Jul,239.68,2015-07-01
2016,Education,US,Jul,246.478,2016-07-01
2017,Education,US,Jul,252.115,2017-07-01
2018,Education,US,Jul,257.477,2018-07-01
2019,Education,US,Jul,264.882,2019-07-01
2020,Education,US,Jul,270.659,2020-07-01
2021,Education,US,Jul,273.812,2021-07-01
2022,Education,US,Jul,280.974,2022-07-01
2023,Education,US,Jul,290.069,2023-07-01
2014,All items,Midwest,Jul,226.997,2014-07-01
2015,All items,Midwest,Jul,225.853,2015-07-01
2016,All items,Midwest,Jul,226.786,2016-07-01
2017,All items,Midwest,Jul,229.82,2017-07-01
2018,All items,Midwest,Jul,235.346,2018-07-01
2019,All items,Midwest,Jul,238.76,2019-07-01
2020,All items,Midwest,Jul,240.43,2020-07-01
2021,All items,Midwest,Jul,254.671,2021-07-01
2022,All items,Midwest,Jul,276.525,2022-07-01
2023,All items,Midwest,Jul,284.64,2023-07-01
2014,All items,Northeast,Jul,253.833,2014-07-01
2015,All items,Northeast,Jul,253.405,2015-07-01
2016,All items,Northeast,Jul,255.386,2016-07-01
2017,All items,Northeast,Jul,258.833,2017-07-01
2018,All items,Northeast,Jul,265.83,2018-07-01
2019,All items,Northeast,Jul,270.381,2019-07-01
2020,All items,Northeast,Jul,273.347,2020-07-01
2021,All items,Northeast,Jul,285.22,2021-07-01
2022,All items,Northeast,Jul,305.916,2022-07-01
2023,All items,Northeast,Jul,313.952,2023-07-01
2014,All items,South,Jul,232.013,2014-07-01
2015,All items,South,Jul,231.719,2015-07-01
2016,All items,South,Jul,233.292,2016-07-01
2017,All items,South,Jul,236.942,2017-07-01
2018,All items,South,Jul,243.776,2018-07-01
2019,All items,South,Jul,247.25,2019-07-01
2020,All items,South,Jul,248.619,2020-07-01
2021,All items,South,Jul,263.013,2021-07-01
2022,All items,South,Jul,287.608,2022-07-01
2023,All items,South,Jul,297.279,2023-07-01
2014,All items,West,Jul,241.85,2014-07-01
2015,All items,West,Jul,245.04,2015-07-01
2016,All items,West,Jul,248.375,2016-07-01
2017,All items,West,Jul,254.708,2017-07-01
2018,All items,West,Jul,263.971,2018-07-01
2019,All items,West,Jul,271.029,2019-07-01
2020,All items,West,Jul,275.597,2020-07-01
2021,All items,West,Jul,289.863,2021-07-01
2022,All items,West,Jul,313.951,2022-07-01
2023,All items,West,Jul,324.865,2023-07-01
2014,All items,US,Aug,237.852,2014-08-01
2015,All items,US,Aug,238.316,2015-08-01
2016,All items,US,Aug,240.849,2016-08-01
2017,All items,US,Aug,245.519,2017-08-01
2018,All items,US,Aug,252.146,2018-08-01
2019,All items,US,Aug,256.558,2019-08-01
2020,All items,US,Aug,259.918,2020-08-01
2021,All items,US,Aug,273.567,2021-08-01
2022,All items,US,Aug,296.171,2022-08-01
2023,All items,US,Aug,307.026,2023-08-01
2014,Transportation,US,Aug,218.279,2014-08-01
2015,Transportation,US,Aug,203.377,2015-08-01
2016,Transportation,US,Aug,195.198,2016-08-01
2017,Transportation,US,Aug,200.652,2017-08-01
2018,Transportation,US,Aug,213.482,2018-08-01
2019,Transportation,US,Aug,211.084,2019-08-01
2020,Transportation,US,Aug,202.386,2020-08-01
2021,Transportation,US,Aug,238.333,2021-08-01
2022,Transportation,US,Aug,270.334,2022-08-01
2023,Transportation,US,Aug,274.22,2023-08-01
2014,All items less food and energy,US,Aug,238.296,2014-08-01
2015,All items less food and energy,US,Aug,242.651,2015-08-01
2016,All items less food and energy,US,Aug,248.278,2016-08-01
2017,All items less food and energy,US,Aug,252.46,2017-08-01
2018,All items less food and energy,US,Aug,258.012,2018-08-01
2019,All items less food and energy,US,Aug,264.169,2019-08-01
2020,All items less food and energy,US,Aug,268.756,2020-08-01
2021,All items less food and energy,US,Aug,279.507,2021-08-01
2022,All items less food and energy,US,Aug,297.178,2022-08-01
2023,All items less food and energy,US,Aug,310.103,2023-08-01
2014,Housing,US,Aug,234.571,2014-08-01
2015,Housing,US,Aug,239.298,2015-08-01
2016,Housing,US,Aug,245.472,2016-08-01
2017,Housing,US,Aug,252.615,2017-08-01
2018,Housing,US,Aug,259.884,2018-08-01
2019,Housing,US,Aug,267.263,2019-08-01
2020,Housing,US,Aug,272.866,2020-08-01
2021,Housing,US,Aug,282.391,2021-08-01
2022,Housing,US,Aug,304.506,2022-08-01
2023,Housing,US,Aug,321.894,2023-08-01
2014,Energy,US,Aug,250.951,2014-08-01
2015,Energy,US,Aug,213.248,2015-08-01
2016,Energy,US,Aug,193.524,2016-08-01
2017,Energy,US,Aug,205.894,2017-08-01
2018,Energy,US,Aug,226.939,2018-08-01
2019,Energy,US,Aug,216.978,2019-08-01
2020,Energy,US,Aug,197.362,2020-08-01
2021,Energy,US,Aug,246.639,2021-08-01
2022,Energy,US,Aug,305.372,2022-08-01
2023,Energy,US,Aug,294.328,2023-08-01
2014,Food and beverages,US,Aug,243.497,2014-08-01
2015,Food and beverages,US,Aug,247.196,2015-08-01
2016,Food and beverages,US,Aug,247.42,2016-08-01
2017,Food and beverages,US,Aug,250.212,2017-08-01
2018,Food and beverages,US,Aug,253.779,2018-08-01
2019,Food and beverages,US,Aug,258.154,2019-08-01
2020,Food and beverages,US,Aug,268.383,2020-08-01
2021,Food and beverages,US,Aug,278.201,2021-08-01
2022,Food and beverages,US,Aug,308.55,2022-08-01
2023,Food and beverages,US,Aug,321.578,2023-08-01
2014,Medical care,US,Aug,435.777,2014-08-01
2015,Medical care,US,Aug,446.536,2015-08-01
2016,Medical care,US,Aug,468.379,2016-08-01
2017,Medical care,US,Aug,476.869,2017-08-01
2018,Medical care,US,Aug,484.172,2018-08-01
2019,Medical care,US,Aug,500.916,2019-08-01
2020,Medical care,US,Aug,523.295,2020-08-01
2021,Medical care,US,Aug,525.247,2021-08-01
2022,Medical care,US,Aug,553.429,2022-08-01
2023,Medical care,US,Aug,548.082,2023-08-01
2014,Education,US,Aug,233.634,2014-08-01
2015,Education,US,Aug,242.076,2015-08-01
2016,Education,US,Aug,248.58,2016-08-01
2017,Education,US,Aug,253.805,2017-08-01
2018,Education,US,Aug,260.613,2018-08-01
2019,Education,US,Aug,266.979,2019-08-01
2020,Education,US,Aug,271.626,2020-08-01
2021,Education,US,Aug,275.373,2021-08-01
2022,Education,US,Aug,283.882,2022-08-01
2023,Education,US,Aug,292.014,2023-08-01
2014,All items,Midwest,Aug,226.587,2014-08-01
2015,All items,Midwest,Aug,225.83,2015-08-01
2016,All items,Midwest,Aug,227.097,2016-08-01
2017,All items,Midwest,Aug,230.443,2017-08-01
2018,All items,Midwest,Aug,235.276,2018-08-01
2019,All items,Midwest,Aug,238.786,2019-08-01
2020,All items,Midwest,Aug,241.362,2020-08-01
2021,All items,Midwest,Aug,255.142,2021-08-01
2022,All items,Midwest,Aug,275.875,2022-08-01
2023,All items,Midwest,Aug,285.122,2023-08-01
2014,All items,Northeast,Aug,253.185,2014-08-01
2015,All items,Northeast,Aug,252.903,2015-08-01
2016,All items,Northeast,Aug,255.545,2016-08-01
2017,All items,Northeast,Aug,259.508,2017-08-01
2018,All items,Northeast,Aug,266.425,2018-08-01
2019,All items,Northeast,Aug,270.548,2019-08-01
2020,All items,Northeast,Aug,273.597,2020-08-01
2021,All items,Northeast,Aug,285.63,2021-08-01
2022,All items,Northeast,Aug,306.855,2022-08-01
2023,All items,Northeast,Aug,315.441,2023-08-01
2014,All items,South,Aug,231.611,2014-08-01
2015,All items,South,Aug,231.26,2015-08-01
2016,All items,South,Aug,233.561,2016-08-01
2017,All items,South,Aug,237.892,2017-08-01
2018,All items,South,Aug,243.605,2018-08-01
2019,All items,South,Aug,246.953,2019-08-01
2020,All items,South,Aug,249.639,2020-08-01
2021,All items,South,Aug,263.728,2021-08-01
2022,All items,South,Aug,287.168,2022-08-01
2023,All items,South,Aug,298.975,2023-08-01
2014,All items,West,Aug,241.66,2014-08-01
2015,All items,West,Aug,244.737,2015-08-01
2016,All items,West,Aug,248.498,2016-08-01
2017,All items,West,Aug,255.282,2017-08-01
2018,All items,West,Aug,264.395,2018-08-01
2019,All items,West,Aug,271.264,2019-08-01
2020,All items,West,Aug,276.443,2020-08-01
2021,All items,West,Aug,290.393,2021-08-01
2022,All items,West,Aug,314.013,2022-08-01
2023,All items,West,Aug,326.234,2023-08-01
2014,All items,US,Sep,238.031,2014-09-01
2015,All items,US,Sep,237.945,2015-09-01
2016,All items,US,Sep,241.428,2016-09-01
2017,All items,US,Sep,246.819,2017-09-01
2018,All items,US,Sep,252.439,2018-09-01
2019,All items,US,Sep,256.759,2019-09-01
2020,All items,US,Sep,260.28,2020-09-01
2021,All items,US,Sep,274.31,2021-09-01
2022,All items,US,Sep,296.808,2022-09-01
2023,All items,US,Sep,307.789,2023-09-01
2014,Transportation,US,Sep,216.383,2014-09-01
2015,Transportation,US,Sep,197.593,2015-09-01
2016,Transportation,US,Sep,195.402,2016-09-01
2017,Transportation,US,Sep,204.775,2017-09-01
2018,Transportation,US,Sep,212.414,2018-09-01
2019,Transportation,US,Sep,209.35,2019-09-01
2020,Transportation,US,Sep,202.715,2020-09-01
2021,Transportation,US,Sep,236.373,2021-09-01
2022,Transportation,US,Sep,266.109,2022-09-01
2023,Transportation,US,Sep,272.517,2023-09-01
2014,All items less food and energy,US,Sep,238.841,2014-09-01
2015,All items less food and energy,US,Sep,243.359,2015-09-01
2016,All items less food and energy,US,Sep,248.731,2016-09-01
2017,All items less food and energy,US,Sep,252.941,2017-09-01
2018,All items less food and energy,US,Sep,258.429,2018-09-01
2019,All items less food and energy,US,Sep,264.522,2019-09-01
2020,All items less food and energy,US,Sep,269.054,2020-09-01
2021,All items less food and energy,US,Sep,279.884,2021-09-01
2022,All items less food and energy,US,Sep,298.442,2022-09-01
2023,All items less food and energy,US,Sep,310.817,2023-09-01
2014,Housing,US,Sep,234.675,2014-09-01
2015,Housing,US,Sep,239.651,2015-09-01
2016,Housing,US,Sep,246.127,2016-09-01
2017,Housing,US,Sep,252.984,2017-09-01
2018,Housing,US,Sep,259.941,2018-09-01
2019,Housing,US,Sep,267.822,2019-09-01
2020,Housing,US,Sep,273.116,2020-09-01
2021,Housing,US,Sep,283.744,2021-09-01
2022,Housing,US,Sep,306.521,2022-09-01
2023,Housing,US,Sep,323.563,2023-09-01
2014,Energy,US,Sep,247.077,2014-09-01
2015,Energy,US,Sep,201.641,2015-09-01
2016,Energy,US,Sep,195.852,2016-09-01
2017,Energy,US,Sep,215.711,2017-09-01
2018,Energy,US,Sep,226.165,2018-09-01
2019,Energy,US,Sep,215.418,2019-09-01
2020,Energy,US,Sep,198.858,2020-09-01
2021,Energy,US,Sep,248.228,2021-09-01
2022,Energy,US,Sep,297.343,2022-09-01
2023,Energy,US,Sep,296.004,2023-09-01
2014,Food and beverages,US,Sep,244.26,2014-09-01
2015,Food and beverages,US,Sep,248.09,2015-09-01
2016,Food and beverages,US,Sep,247.645,2016-09-01
2017,Food and beverages,US,Sep,250.735,2017-09-01
2018,Food and beverages,US,Sep,254.178,2018-09-01
2019,Food and beverages,US,Sep,258.646,2019-09-01
2020,Food and beverages,US,Sep,268.465,2020-09-01
2021,Food and beverages,US,Sep,280.452,2021-09-01
2022,Food and beverages,US,Sep,310.678,2022-09-01
2023,Food and beverages,US,Sep,322.249,2023-09-01
2014,Medical care,US,Sep,436.575,2014-09-01
2015,Medical care,US,Sep,447.289,2015-09-01
2016,Medical care,US,Sep,469.154,2016-09-01
2017,Medical care,US,Sep,476.485,2017-09-01
2018,Medical care,US,Sep,484.708,2018-09-01
2019,Medical care,US,Sep,501.468,2019-09-01
2020,Medical care,US,Sep,522.528,2020-09-01
2021,Medical care,US,Sep,524.818,2021-09-01
2022,Medical care,US,Sep,556.323,2022-09-01
2023,Medical care,US,Sep,548.431,2023-09-01
2014,Education,US,Sep,235.378,2014-09-01
2015,Education,US,Sep,244.351,2015-09-01
2016,Education,US,Sep,250.469,2016-09-01
2017,Education,US,Sep,255.783,2017-09-01
2018,Education,US,Sep,262.336,2018-09-01
2019,Education,US,Sep,268.357,2019-09-01
2020,Education,US,Sep,272.241,2020-09-01
2021,Education,US,Sep,277.551,2021-09-01
2022,Education,US,Sep,286.151,2022-09-01
2023,Education,US,Sep,294.357,2023-09-01
2014,All items,Midwest,Sep,226.913,2014-09-01
2015,All items,Midwest,Sep,225.184,2015-09-01
2016,All items,Midwest,Sep,227.636,2016-09-01
2017,All items,Midwest,Sep,231.03,2017-09-01
2018,All items,Midwest,Sep,235.524,2018-09-01
2019,All items,Midwest,Sep,238.847,2019-09-01
2020,All items,Midwest,Sep,241.878,2020-09-01
2021,All items,Midwest,Sep,255.709,2021-09-01
2022,All items,Midwest,Sep,276.549,2022-09-01
2023,All items,Midwest,Sep,285.276,2023-09-01
2014,All items,Northeast,Sep,253.154,2014-09-01
2015,All items,Northeast,Sep,252.922,2015-09-01
2016,All items,Northeast,Sep,256.085,2016-09-01
2017,All items,Northeast,Sep,260.875,2017-09-01
2018,All items,Northeast,Sep,266.709,2018-09-01
2019,All items,Northeast,Sep,270.563,2019-09-01
2020,All items,Northeast,Sep,273.925,2020-09-01
2021,All items,Northeast,Sep,286.423,2021-09-01
2022,All items,Northeast,Sep,307.152,2022-09-01
2023,All items,Northeast,Sep,316.373,2023-09-01
2014,All items,South,Sep,231.762,2014-09-01
2015,All items,South,Sep,230.913,2015-09-01
2016,All items,South,Sep,234.069,2016-09-01
2017,All items,South,Sep,239.649,2017-09-01
2018,All items,South,Sep,243.64,2018-09-01
2019,All items,South,Sep,246.891,2019-09-01
2020,All items,South,Sep,250.193,2020-09-01
2021,All items,South,Sep,264.593,2021-09-01
2022,All items,South,Sep,287.656,2022-09-01
2023,All items,South,Sep,299.657,2023-09-01
2014,All items,West,Sep,241.92,2014-09-01
2015,All items,West,Sep,244.257,2015-09-01
2016,All items,West,Sep,249.234,2016-09-01
2017,All items,West,Sep,256.504,2017-09-01
2018,All items,West,Sep,265.105,2018-09-01
2019,All items,West,Sep,272.102,2019-09-01
2020,All items,West,Sep,276.422,2020-09-01
2021,All items,West,Sep,291.053,2021-09-01
2022,All items,West,Sep,315.094,2022-09-01
2023,All items,West,Sep,327.491,2023-09-01
2014,All items,US,Oct,237.433,2014-10-01
2015,All items,US,Oct,237.838,2015-10-01
2016,All items,US,Oct,241.729,2016-10-01
2017,All items,US,Oct,246.663,2017-10-01
2018,All items,US,Oct,252.885,2018-10-01
2019,All items,US,Oct,257.346,2019-10-01
2020,All items,US,Oct,260.388,2020-10-01
2021,All items,US,Oct,276.589,2021-10-01
2022,All items,US,Oct,298.012,2022-10-01
2023,All items,US,Oct,307.671,2023-10-01
2014,Transportation,US,Oct,212.626,2014-10-01
2015,Transportation,US,Oct,195.858,2015-10-01
2016,Transportation,US,Oct,196.185,2016-10-01
2017,Transportation,US,Oct,202.457,2017-10-01
2018,Transportation,US,Oct,213.482,2018-10-01
2019,Transportation,US,Oct,210.487,2019-10-01
2020,Transportation,US,Oct,203.086,2020-10-01
2021,Transportation,US,Oct,241.042,2021-10-01
2022,Transportation,US,Oct,267.979,2022-10-01
2023,Transportation,US,Oct,270.027,2023-10-01
2014,All items less food and energy,US,Oct,239.413,2014-10-01
2015,All items less food and energy,US,Oct,243.985,2015-10-01
2016,All items less food and energy,US,Oct,249.218,2016-10-01
2017,All items less food and energy,US,Oct,253.638,2017-10-01
2018,All items less food and energy,US,Oct,259.063,2018-10-01
2019,All items less food and energy,US,Oct,265.059,2019-10-01
2020,All items less food and energy,US,Oct,269.328,2020-10-01
2021,All items less food and energy,US,Oct,281.617,2021-10-01
2022,All items less food and energy,US,Oct,299.315,2022-10-01
2023,All items less food and energy,US,Oct,311.38,2023-10-01
2014,Housing,US,Oct,234.434,2014-10-01
2015,Housing,US,Oct,239.395,2015-10-01
2016,Housing,US,Oct,246.264,2016-10-01
2017,Housing,US,Oct,253.125,2017-10-01
2018,Housing,US,Oct,260.268,2018-10-01
2019,Housing,US,Oct,267.794,2019-10-01
2020,Housing,US,Oct,273.014,2020-10-01
2021,Housing,US,Oct,285.31,2021-10-01
2022,Housing,US,Oct,307.816,2022-10-01
2023,Housing,US,Oct,323.964,2023-10-01
2014,Energy,US,Oct,234.745,2014-10-01
2015,Energy,US,Oct,194.501,2015-10-01
2016,Energy,US,Oct,194.786,2016-10-01
2017,Energy,US,Oct,207.29,2017-10-01
2018,Energy,US,Oct,225.757,2018-10-01
2019,Energy,US,Oct,216.351,2019-10-01
2020,Energy,US,Oct,196.458,2020-10-01
2021,Energy,US,Oct,255.338,2021-10-01
2022,Energy,US,Oct,300.359,2022-10-01
2023,Energy,US,Oct,286.754,2023-10-01
2014,Food and beverages,US,Oct,244.775,2014-10-01
2015,Food and beverages,US,Oct,248.575,2015-10-01
2016,Food and beverages,US,Oct,247.861,2016-10-01
2017,Food and beverages,US,Oct,251.13,2017-10-01
2018,Food and beverages,US,Oct,254.203,2018-10-01
2019,Food and beverages,US,Oct,259.284,2019-10-01
2020,Food and beverages,US,Oct,269.169,2020-10-01
2021,Food and beverages,US,Oct,282.943,2021-10-01
2022,Food and beverages,US,Oct,312.86,2022-10-01
2023,Food and beverages,US,Oct,323.262,2023-10-01
2014,Medical care,US,Oct,437.027,2014-10-01
2015,Medical care,US,Oct,450.065,2015-10-01
2016,Medical care,US,Oct,469.23,2016-10-01
2017,Medical care,US,Oct,477.121,2017-10-01
2018,Medical care,US,Oct,485.269,2018-10-01
2019,Medical care,US,Oct,506.1,2019-10-01
2020,Medical care,US,Oct,520.725,2020-10-01
2021,Medical care,US,Oct,527.564,2021-10-01
2022,Medical care,US,Oct,554.043,2022-10-01
2023,Medical care,US,Oct,549.762,2023-10-01
2014,Education,US,Oct,235.92,2014-10-01
2015,Education,US,Oct,244.7,2015-10-01
2016,Education,US,Oct,251.173,2016-10-01
2017,Education,US,Oct,256.435,2017-10-01
2018,Education,US,Oct,262.947,2018-10-01
2019,Education,US,Oct,268.878,2019-10-01
2020,Education,US,Oct,272.465,2020-10-01
2021,Education,US,Oct,278.047,2021-10-01
2022,Education,US,Oct,286.449,2022-10-01
2023,Education,US,Oct,294.084,2023-10-01
2014,All items,Midwest,Oct,225.793,2014-10-01
2015,All items,Midwest,Oct,225.05,2015-10-01
2016,All items,Midwest,Oct,227.358,2016-10-01
2017,All items,Midwest,Oct,230.66,2017-10-01
2018,All items,Midwest,Oct,235.68,2018-10-01
2019,All items,Midwest,Oct,239.243,2019-10-01
2020,All items,Midwest,Oct,241.74,2020-10-01
2021,All items,Midwest,Oct,257.793,2021-10-01
2022,All items,Midwest,Oct,276.908,2022-10-01
2023,All items,Midwest,Oct,284.981,2023-10-01
2014,All items,Northeast,Oct,252.73,2014-10-01
2015,All items,Northeast,Oct,252.504,2015-10-01
2016,All items,Northeast,Oct,256.605,2016-10-01
2017,All items,Northeast,Oct,260.58,2017-10-01
2018,All items,Northeast,Oct,266.464,2018-10-01
2019,All items,Northeast,Oct,270.348,2019-10-01
2020,All items,Northeast,Oct,273.374,2020-10-01
2021,All items,Northeast,Oct,288.236,2021-10-01
2022,All items,Northeast,Oct,308.001,2022-10-01
2023,All items,Northeast,Oct,316.3,2023-10-01
2014,All items,South,Oct,231.131,2014-10-01
2015,All items,South,Oct,230.86,2015-10-01
2016,All items,South,Oct,234.337,2016-10-01
2017,All items,South,Oct,239.067,2017-10-01
2018,All items,South,Oct,244.163,2018-10-01
2019,All items,South,Oct,247.423,2019-10-01
2020,All items,South,Oct,250.542,2020-10-01
2021,All items,South,Oct,267.16,2021-10-01
2022,All items,South,Oct,288.836,2022-10-01
2023,All items,South,Oct,299.394,2023-10-01
2014,All items,West,Oct,241.65,2014-10-01
2015,All items,West,Oct,244.341,2015-10-01
2016,All items,West,Oct,249.897,2016-10-01
2017,All items,West,Oct,257.223,2017-10-01
2018,All items,West,Oct,266.195,2018-10-01
2019,All items,West,Oct,273.524,2019-10-01
2020,All items,West,Oct,276.876,2020-10-01
2021,All items,West,Oct,293.397,2021-10-01
2022,All items,West,Oct,317.299,2022-10-01
2023,All items,West,Oct,327.708,2023-10-01
2014,All items,US,Nov,236.151,2014-11-01
2015,All items,US,Nov,237.336,2015-11-01
2016,All items,US,Nov,241.353,2016-11-01
2017,All items,US,Nov,246.669,2017-11-01
2018,All items,US,Nov,252.038,2018-11-01
2019,All items,US,Nov,257.208,2019-11-01
2020,All items,US,Nov,260.229,2020-11-01
2021,All items,US,Nov,277.948,2021-11-01
2022,All items,US,Nov,297.711,2022-11-01
2023,All items,US,Nov,307.051,2023-11-01
2014,Transportation,US,Nov,206.874,2014-11-01
2015,Transportation,US,Nov,194.404,2015-11-01
2016,Transportation,US,Nov,195.411,2016-11-01
2017,Transportation,US,Nov,204.014,2017-11-01
2018,Transportation,US,Nov,209.924,2018-11-01
2019,Transportation,US,Nov,209.763,2019-11-01
2020,Transportation,US,Nov,202.828,2020-11-01
2021,Transportation,US,Nov,245.532,2021-11-01
2022,Transportation,US,Nov,264.668,2022-11-01
2023,Transportation,US,Nov,267.035,2023-11-01
2014,All items less food and energy,US,Nov,239.248,2014-11-01
2015,All items less food and energy,US,Nov,244.075,2015-11-01
2016,All items less food and energy,US,Nov,249.227,2016-11-01
2017,All items less food and energy,US,Nov,253.492,2017-11-01
2018,All items less food and energy,US,Nov,259.105,2018-11-01
2019,All items less food and energy,US,Nov,265.108,2019-11-01
2020,All items less food and energy,US,Nov,269.473,2020-11-01
2021,All items less food and energy,US,Nov,282.754,2021-11-01
2022,All items less food and energy,US,Nov,299.6,2022-11-01
2023,All items less food and energy,US,Nov,311.606,2023-11-01
2014,Housing,US,Nov,234.315,2014-11-01
2015,Housing,US,Nov,239.325,2015-11-01
2016,Housing,US,Nov,246.271,2016-11-01
2017,Housing,US,Nov,253.177,2017-11-01
2018,Housing,US,Nov,260.473,2018-11-01
2019,Housing,US,Nov,267.925,2019-11-01
2020,Housing,US,Nov,273.29,2020-11-01
2021,Housing,US,Nov,286.308,2021-11-01
2022,Housing,US,Nov,308.72,2022-11-01
2023,Housing,US,Nov,324.735,2023-11-01
2014,Energy,US,Nov,221.844,2014-11-01
2015,Energy,US,Nov,189.267,2015-11-01
2016,Energy,US,Nov,191.402,2016-11-01
2017,Energy,US,Nov,209.383,2017-11-01
2018,Energy,US,Nov,215.91,2018-11-01
2019,Energy,US,Nov,214.636,2019-11-01
2020,Energy,US,Nov,194.388,2020-11-01
2021,Energy,US,Nov,259.1,2021-11-01
2022,Energy,US,Nov,292.953,2022-11-01
2023,Energy,US,Nov,277.029,2023-11-01
2014,Food and beverages,US,Nov,244.902,2014-11-01
2015,Food and beverages,US,Nov,247.87,2015-11-01
2016,Food and beverages,US,Nov,247.246,2016-11-01
2017,Food and beverages,US,Nov,250.694,2017-11-01
2018,Food and beverages,US,Nov,254.262,2018-11-01
2019,Food and beverages,US,Nov,259.08,2019-11-01
2020,Food and beverages,US,Nov,268.539,2020-11-01
2021,Food and beverages,US,Nov,284.168,2021-11-01
2022,Food and beverages,US,Nov,313.467,2022-11-01
2023,Food and beverages,US,Nov,322.703,2023-11-01
2014,Medical care,US,Nov,438.445,2014-11-01
2015,Medical care,US,Nov,451.371,2015-11-01
2016,Medical care,US,Nov,469.333,2016-11-01
2017,Medical care,US,Nov,477.198,2017-11-01
2018,Medical care,US,Nov,486.886,2018-11-01
2019,Medical care,US,Nov,507.541,2019-11-01
2020,Medical care,US,Nov,519.848,2020-11-01
2021,Medical care,US,Nov,528.877,2021-11-01
2022,Medical care,US,Nov,550.844,2022-11-01
2023,Medical care,US,Nov,551.769,2023-11-01
2014,Education,US,Nov,236.098,2014-11-01
2015,Education,US,Nov,244.865,2015-11-01
2016,Education,US,Nov,251.155,2016-11-01
2017,Education,US,Nov,256.721,2017-11-01
2018,Education,US,Nov,263.119,2018-11-01
2019,Education,US,Nov,268.88,2019-11-01
2020,Education,US,Nov,272.359,2020-11-01
2021,Education,US,Nov,278.097,2021-11-01
2022,Education,US,Nov,286.792,2022-11-01
2023,Education,US,Nov,293.674,2023-11-01
2014,All items,Midwest,Nov,224.396,2014-11-01
2015,All items,Midwest,Nov,224.009,2015-11-01
2016,All items,Midwest,Nov,226.673,2016-11-01
2017,All items,Midwest,Nov,231.084,2017-11-01
2018,All items,Midwest,Nov,234.292,2018-11-01
2019,All items,Midwest,Nov,238.85,2019-11-01
2020,All items,Midwest,Nov,241.316,2020-11-01
2021,All items,Midwest,Nov,258.911,2021-11-01
2022,All items,Midwest,Nov,276.436,2022-11-01
2023,All items,Midwest,Nov,284.539,2023-11-01
2014,All items,Northeast,Nov,251.781,2014-11-01
2015,All items,Northeast,Nov,252.573,2015-11-01
2016,All items,Northeast,Nov,256.541,2016-11-01
2017,All items,Northeast,Nov,260.63,2017-11-01
2018,All items,Northeast,Nov,265.487,2018-11-01
2019,All items,Northeast,Nov,270.643,2019-11-01
2020,All items,Northeast,Nov,273.543,2020-11-01
2021,All items,Northeast,Nov,289.835,2021-11-01
2022,All items,Northeast,Nov,308.394,2022-11-01
2023,All items,Northeast,Nov,316.252,2023-11-01
2014,All items,South,Nov,229.845,2014-11-01
2015,All items,South,Nov,230.422,2015-11-01
2016,All items,South,Nov,234.029,2016-11-01
2017,All items,South,Nov,238.861,2017-11-01
2018,All items,South,Nov,243.484,2018-11-01
2019,All items,South,Nov,247.385,2019-11-01
2020,All items,South,Nov,250.255,2020-11-01
2021,All items,South,Nov,268.36,2021-11-01
2022,All items,South,Nov,288.991,2022-11-01
2023,All items,South,Nov,298.93,2023-11-01
2014,All items,West,Nov,240.22,2014-11-01
2015,All items,West,Nov,243.749,2015-11-01
2016,All items,West,Nov,249.448,2016-11-01
2017,All items,West,Nov,257.126,2017-11-01
2018,All items,West,Nov,265.658,2018-11-01
2019,All items,West,Nov,273.128,2019-11-01
2020,All items,West,Nov,276.875,2020-11-01
2021,All items,West,Nov,294.986,2021-11-01
2022,All items,West,Nov,315.919,2022-11-01
2023,All items,West,Nov,326.299,2023-11-01
2014,All items,US,Dec,234.812,2014-12-01
2015,All items,US,Dec,236.525,2015-12-01
2016,All items,US,Dec,241.432,2016-12-01
2017,All items,US,Dec,246.524,2017-12-01
2018,All items,US,Dec,251.233,2018-12-01
2019,All items,US,Dec,256.974,2019-12-01
2020,All items,US,Dec,260.474,2020-12-01
2021,All items,US,Dec,278.802,2021-12-01
2022,All items,US,Dec,296.797,2022-12-01
2023,All items,US,Dec,306.746,2023-12-01
2014,Transportation,US,Dec,199.777,2014-12-01
2015,Transportation,US,Dec,191.528,2015-12-01
2016,Transportation,US,Dec,196.252,2016-12-01
2017,Transportation,US,Dec,203.023,2017-12-01
2018,Transportation,US,Dec,204.541,2018-12-01
2019,Transportation,US,Dec,208.482,2019-12-01
2020,Transportation,US,Dec,203.56,2020-12-01
2021,Transportation,US,Dec,246.499,2021-12-01
2022,Transportation,US,Dec,255.993,2022-12-01
